,n_variables,adjusted_r2,intercept,sum of squares,vars,,,,
288,3,0.981036616,-1.579135796,3055.480839,"('nstud', 'nfem', 'nmale')",,,,
289,3,0.968070174,2.202944637,5144.70253,"('nstud', 'nfem', 'nchild')",,,,
290,3,0.952687834,2.8908356,7623.186567,"('nstud', 'nfem', 'n65+')",,,,
291,3,0.977796532,-2.569744416,3577.540238,"('nstud', 'nmale', 'nchild')",,,,
292,3,0.977137312,-2.663853812,3683.757352,"('nstud', 'nmale', 'n65+')",,,,
293,3,0.836554308,1.960627856,26335.235,"('nstud', 'nchild', 'n65+')",,,,
294,3,0.984035257,-1.272535041,2572.323836,"('nfem', 'nmale', 'nchild')",,,,
295,3,0.973090987,-2.807438952,4335.722653,"('nfem', 'nmale', 'n65+')",,,,
296,3,0.97085012,2.242634882,4696.783017,"('nfem', 'nchild', 'n65+')",,,,
297,3,0.977232328,-2.709514452,3668.447787,"('nmale', 'nchild', 'n65+')",,,,
298,4,0.986919383,0.267180309,2060.782271,"('dwtype', 'npers', 'nveh', 'nlic')",,,,
299,4,0.993595857,-0.196063065,1008.93893,"('dwtype', 'npers', 'nveh', 'nftw')",,,,
300,4,0.98691458,0.265458781,2061.538953,"('dwtype', 'npers', 'nveh', 'nptw')",,,,
301,4,0.988670324,0.375850167,1784.930793,"('dwtype', 'npers', 'nveh', 'nwah')",,,,
302,4,0.987610456,0.159656569,1951.907387,"('dwtype', 'npers', 'nveh', 'nstud')",,,,
303,4,0.988097887,-0.46311656,1875.115198,"('dwtype', 'npers', 'nveh', 'nfem')",,,,
304,4,0.987918785,-0.417570414,1903.331698,"('dwtype', 'npers', 'nveh', 'nmale')",,,,
305,4,0.987931028,0.086222441,1901.40297,"('dwtype', 'npers', 'nveh', 'nchild')",,,,
306,4,0.992527676,0.722747167,1177.22529,"('dwtype', 'npers', 'nveh', 'n65+')",,,,
307,4,0.993971559,0.055593305,949.7491828,"('dwtype', 'npers', 'nlic', 'nftw')",,,,
308,4,0.986628212,0.383988196,2106.65478,"('dwtype', 'npers', 'nlic', 'nptw')",,,,
309,4,0.987937907,0.388717617,1900.319197,"('dwtype', 'npers', 'nlic', 'nwah')",,,,
310,4,0.987258344,0.232927077,2007.380845,"('dwtype', 'npers', 'nlic', 'nstud')",,,,
311,4,0.987602417,-0.288952239,1953.173925,"('dwtype', 'npers', 'nlic', 'nfem')",,,,
