,n_variables,adjusted_r2,intercept,sum of squares,vars
233,3,0.182999593,0.421401142,1914.513754,"('nlic', 'nstud', 'nmale')"
234,3,0.152671576,0.529515214,1985.582759,"('nlic', 'nstud', 'nchild')"
235,3,0.172650031,0.6374105,1938.766348,"('nlic', 'nstud', 'n65+')"
236,3,0.187995011,0.296155645,1902.807768,"('nlic', 'nfem', 'nmale')"
237,3,0.160607186,0.42047406,1966.986888,"('nlic', 'nfem', 'nchild')"
238,3,0.185859295,0.520685757,1907.812488,"('nlic', 'nfem', 'n65+')"
239,3,0.174763484,0.417733288,1933.8138,"('nlic', 'nmale', 'nchild')"
240,3,0.1982283,0.5197503,1878.827641,"('nlic', 'nmale', 'n65+')"
241,3,0.170174926,0.619796028,1944.566375,"('nlic', 'nchild', 'n65+')"
242,3,0.472008562,0.067023615,1237.266056,"('nftw', 'nptw', 'nwah')"
243,3,0.469080872,0.106094052,1244.126643,"('nftw', 'nptw', 'nstud')"
244,3,0.468558174,0.113475353,1245.351505,"('nftw', 'nptw', 'nfem')"
245,3,0.467947253,0.093771624,1246.783103,"('nftw', 'nptw', 'nmale')"
246,3,0.468038275,0.096429122,1246.569808,"('nftw', 'nptw', 'nchild')"
247,3,0.468836004,0.118599765,1244.700453,"('nftw', 'nptw', 'n65+')"
248,3,0.423221041,0.177535111,1351.592045,"('nftw', 'nwah', 'nstud')"
249,3,0.422501318,0.174596416,1353.278604,"('nftw', 'nwah', 'nfem')"
250,3,0.423675344,0.166450732,1350.527457,"('nftw', 'nwah', 'nmale')"
251,3,0.421885569,0.195140544,1354.721516,"('nftw', 'nwah', 'nchild')"
252,3,0.423849686,0.230868034,1350.118913,"('nftw', 'nwah', 'n65+')"
253,3,0.421044606,0.186778382,1356.692182,"('nftw', 'nstud', 'nfem')"
254,3,0.42217706,0.175450901,1354.038451,"('nftw', 'nstud', 'nmale')"
255,3,0.421168645,0.195234767,1356.401518,"('nftw', 'nstud', 'nchild')"
256,3,0.422876414,0.232696019,1352.399625,"('nftw', 'nstud', 'n65+')"
257,3,0.423186513,0.142961666,1351.672955,"('nftw', 'nfem', 'nmale')"
258,3,0.420413513,0.187296346,1358.171052,"('nftw', 'nfem', 'nchild')"
259,3,0.423273867,0.222505561,1351.468256,"('nftw', 'nfem', 'n65+')"
260,3,0.422007847,0.178406689,1354.434976,"('nftw', 'nmale', 'nchild')"
261,3,0.424756703,0.215971268,1347.993459,"('nftw', 'nmale', 'n65+')"
262,3,0.421863,0.249733485,1354.774403,"('nftw', 'nchild', 'n65+')"
263,3,0.01778276,1.028057127,2301.673783,"('nptw', 'nwah', 'nstud')"
264,3,0.042400387,0.848673436,2243.986192,"('nptw', 'nwah', 'nfem')"
265,3,0.10380425,0.684336396,2100.095761,"('nptw', 'nwah', 'nmale')"
266,3,0.019046591,1.010012736,2298.712191,"('nptw', 'nwah', 'nchild')"
267,3,0.065124822,1.109181093,2190.735001,"('nptw', 'nwah', 'n65+')"
268,3,0.049525434,0.830139644,2227.289748,"('nptw', 'nstud', 'nfem')"
269,3,0.118359596,0.669578884,2065.987563,"('nptw', 'nstud', 'nmale')"
270,3,0.020062967,1.014858606,2296.330471,"('nptw', 'nstud', 'nchild')"
271,3,0.064408484,1.113501283,2192.413628,"('nptw', 'nstud', 'n65+')"
272,3,0.130288161,0.472832481,2038.034822,"('nptw', 'nfem', 'nmale')"
273,3,0.042192566,0.82831368,2244.473188,"('nptw', 'nfem', 'nchild')"
274,3,0.09497671,0.906953643,2120.781731,"('nptw', 'nfem', 'n65+')"
275,3,0.107261277,0.662166552,2091.994754,"('nptw', 'nmale', 'nchild')"
276,3,0.146461326,0.762430038,2000.135518,"('nptw', 'nmale', 'n65+')"
277,3,0.063725599,1.089300344,2194.013863,"('nptw', 'nchild', 'n65+')"
278,3,0.038471032,0.856705515,2253.194024,"('nwah', 'nstud', 'nfem')"
279,3,0.107257275,0.703175973,2092.004132,"('nwah', 'nstud', 'nmale')"
280,3,0.0032104,1.058013424,2335.821848,"('nwah', 'nstud', 'nchild')"
281,3,0.050870594,1.155319898,2224.137575,"('nwah', 'nstud', 'n65+')"
282,3,0.133421593,0.474180704,2030.69211,"('nwah', 'nfem', 'nmale')"
283,3,0.035572232,0.848432204,2259.986914,"('nwah', 'nfem', 'nchild')"
284,3,0.092611667,0.929226051,2126.323843,"('nwah', 'nfem', 'n65+')"
285,3,0.102283239,0.688543257,2103.660014,"('nwah', 'nmale', 'nchild')"
286,3,0.145358859,0.790047599,2002.718978,"('nwah', 'nmale', 'n65+')"
287,3,0.052666151,1.143177791,2219.929965,"('nwah', 'nchild', 'n65+')"
288,3,0.182606893,0.304021094,1915.433987,"('nstud', 'nfem', 'nmale')"
289,3,0.03581682,0.843545406,2259.41376,"('nstud', 'nfem', 'nchild')"
290,3,0.09988718,0.915249676,2109.274807,"('nstud', 'nfem', 'n65+')"
291,3,0.104195016,0.688377842,2099.18006,"('nstud', 'nmale', 'nchild')"
292,3,0.155512067,0.785462049,1978.926511,"('nstud', 'nmale', 'n65+')"
293,3,0.050035288,1.141923384,2226.094984,"('nstud', 'nchild', 'n65+')"
294,3,0.177260861,0.249987009,1927.961583,"('nfem', 'nmale', 'nchild')"
295,3,0.183949538,0.536945544,1912.287705,"('nfem', 'nmale', 'n65+')"
296,3,0.093815278,0.89967652,2123.503367,"('nfem', 'nchild', 'n65+')"
297,3,0.148184491,0.766159334,1996.097549,"('nmale', 'nchild', 'n65+')"
298,4,0.189963234,0.142334851,1897.372387,"('dwtype', 'npers', 'nveh', 'nlic')"
299,4,0.424045722,0.075584777,1349.074251,"('dwtype', 'npers', 'nveh', 'nftw')"
300,4,0.156309107,0.26073924,1976.201417,"('dwtype', 'npers', 'nveh', 'nptw')"
301,4,0.158756894,0.300530159,1970.467894,"('dwtype', 'npers', 'nveh', 'nwah')"
302,4,0.199559044,0.12742752,1874.895845,"('dwtype', 'npers', 'nveh', 'nstud')"
303,4,0.156637887,0.275374544,1975.431306,"('dwtype', 'npers', 'nveh', 'nfem')"
304,4,0.157035809,0.275047159,1974.499242,"('dwtype', 'npers', 'nveh', 'nmale')"
305,4,0.196488736,0.014078621,1882.087516,"('dwtype', 'npers', 'nveh', 'nchild')"
306,4,0.202839669,0.398075389,1867.211543,"('dwtype', 'npers', 'nveh', 'n65+')"
307,4,0.425894841,0.058210564,1344.743006,"('dwtype', 'npers', 'nlic', 'nftw')"
308,4,0.188243472,0.189076603,1901.400636,"('dwtype', 'npers', 'nlic', 'nptw')"
309,4,0.193412852,0.224069616,1889.292249,"('dwtype', 'npers', 'nlic', 'nwah')"
310,4,0.227603399,0.056253354,1809.206749,"('dwtype', 'npers', 'nlic', 'nstud')"
311,4,0.18763691,0.198413062,1902.821404,"('dwtype', 'npers', 'nlic', 'nfem')"
312,4,0.187852649,0.198231846,1902.316072,"('dwtype', 'npers', 'nlic', 'nmale')"
313,4,0.21119317,0.025322416,1847.644899,"('dwtype', 'npers', 'nlic', 'nchild')"
314,4,0.219391883,0.332041169,1828.440818,"('dwtype', 'npers', 'nlic', 'n65+')"
315,4,0.468197379,0.051359738,1245.656556,"('dwtype', 'npers', 'nftw', 'nptw')"
316,4,0.424441903,0.092964812,1348.146265,"('dwtype', 'npers', 'nftw', 'nwah')"
