zone,dwtype,npers,nveh,nlic,nftw,nptw,nwah,nstud,nfem,nmale,nchild,n65+,nwork,nnwk,expfac
20,2,1,0,1,0,0,1,0,0,1,0,0,0,0,30.35
1,1,3,2,2,0,0,0,0,1,2,0,3,0,0,24.62
36,2,1,0,0,1,0,0,0,0,1,0,0,3,1,26.34
412,2,3,2,2,1,1,0,1,1,2,0,0,1,5,26.34
3,2,1,0,0,0,0,0,0,1,0,0,1,0,1,25.53
19,2,2,0,1,2,0,0,0,2,0,0,0,4,4,27.24
7,2,1,0,1,1,0,0,0,0,1,0,0,1,1,30.35
2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,24.62
9,2,1,1,1,1,0,0,0,0,1,0,0,1,1,25.53
10,2,2,1,2,1,0,0,1,1,1,0,0,0,8,25.53
13,2,1,1,1,1,0,0,0,0,1,0,0,1,9,22.11
13,2,1,0,1,1,0,0,0,1,0,0,0,1,1,22.11
6,1,2,1,2,1,1,0,0,1,1,0,0,2,2,30.35
3,2,1,0,1,1,0,0,0,0,1,0,0,1,0,25.53
1,1,2,2,2,2,0,0,0,1,1,0,0,2,4,24.62
17,2,1,0,0,0,0,0,0,1,0,0,1,0,0,27.24
6,2,2,1,1,2,0,0,0,1,1,0,0,1,8,30.35
29,1,1,0,0,0,0,0,0,0,1,0,0,0,0,22.11
15,1,5,0,1,4,0,0,1,2,3,0,0,3,5,22.11
8,2,2,2,2,2,0,0,0,1,1,0,0,2,3,30.35
14,2,1,1,1,1,0,0,0,0,1,0,0,1,1,22.11
21,1,2,1,1,0,1,0,0,1,1,0,1,0,7,30.35
7,2,2,0,0,2,0,0,1,1,1,0,0,3,5,30.35
412,2,1,0,1,1,0,0,0,1,0,0,0,1,1,26.34
29,2,1,0,1,0,1,0,1,0,1,0,0,0,2,22.11
9,2,2,1,2,1,0,0,0,0,2,0,0,1,1,25.53
1,2,1,0,0,1,0,0,0,0,1,0,0,1,1,24.62
9,1,2,1,1,2,0,0,0,1,1,0,0,2,4,25.53
7,2,1,0,1,1,0,0,0,0,1,0,0,1,1,30.35
9,2,1,0,0,1,0,0,0,1,0,0,0,2,1,25.53
7,2,1,0,1,0,0,0,0,1,0,0,0,0,0,30.35
23,2,1,0,1,0,0,0,0,0,1,0,0,0,0,30.35
9,2,1,0,0,1,0,0,0,1,0,0,0,1,1,25.53
3,2,1,1,1,1,0,0,0,0,1,0,0,1,1,25.53
7,2,1,0,1,0,1,0,0,1,0,0,0,1,1,30.35
401,2,1,1,1,1,0,0,0,1,0,0,0,1,1,25.53
3,2,1,1,1,0,0,0,1,1,0,0,0,0,2,25.53
9,2,2,1,2,2,0,0,0,1,1,0,0,4,4,25.53
